name,project_link,owner,address,area,sell_date,progress,price,scale,latlong,page_number
"
Căn hộ Bình Khánh
",https://batdongsan.com.vn/can-ho-chung-cu-quan-2/can-ho-binh-khanh-pj1316,Công ty CP Đức Khải,"Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh",17.300 m²,,"
Đang cập nhật
",,"7 đơn nguyên, cao 18 tầng, 1844 căn hộ","10.7877588272095,106.742546081543",p86
"
Garden Court 1
",https://batdongsan.com.vn/can-ho-chung-cu-quan-7/garden-court-1-pj1308,Công ty TNHH Liên doanh Phú Mỹ Hưng,"Khu Kênh Đào, Quận 7 , Tp.HCM , Việt Nam",5.500 m²,,"
Đang cập nhật
",,3 Block cao 8 - 15 tầng,"10.734034538269,106.721580505371",p86
"
Garden Plaza 1
",https://batdongsan.com.vn/can-ho-chung-cu-quan-7/garden-plaza-1-pj1310,Công ty TNHH Liên doanh Phú Mỹ Hưng,"Khu Kênh Đào, Quận 7 , Tp.HCM , Việt Nam",7.000 m²,Quý II/2007,"
Đã hoàn thành
",35 triệu/m²,96 căn hộ và 14 cửa hàng,"10.7226619720459,106.713180541992",p86
"
Cao ốc Thịnh Vượng
",https://batdongsan.com.vn/can-ho-chung-cu-quan-2/cao-oc-thinh-vuong-pj1314,Công ty CP Đầu tư - Kinh Doanh Nhà (INTRESCO),"531 Nguyễn Duy Trinh, P. Bình Trưng Ðông, Q. 2, TP.HCM",3.500 m²,,"
Đã hoàn thành
",19 triệu/m²,Gồm 15 tầng,"10.7888021469116,106.771102905273",p86
"
Him Lam Chợ Lớn
",https://batdongsan.com.vn/can-ho-chung-cu-quan-6/him-lam-cho-lon-pj1296,Công ty CP Him Lam,"Đường Hậu Giang, Phường 11, Quận 6 , Tp.HCM , Việt Nam",40.800 m²,Quý II/2016,"
Đã hoàn thành
",20 triệu/m²,gồm 1.468 căn,"10.7467222213745,106.637145996094",p87
"
Tòa nhà Vinaconex 1
",https://batdongsan.com.vn/can-ho-chung-cu-cau-giay/toa-nha-vinaconex-1-pj1277,Công ty CP Xây dựng Số 1,"289A Khuất Duy Tiến, Trung Hoà, Cầu Giấy,  Hà Nội",10.510 m²,,"
Đã hoàn thành
",7 triệu/m²,"Gồm 5 khối nhà cao từ 22-27 tầng, 1 khối nhà cao 5 tầng","21.0016822814941,105.792404174805",p87
"
Chung cư Tôn Thất Thuyết
",https://batdongsan.com.vn/can-ho-chung-cu-quan-4/chung-cu-ton-that-thuyet-pj1307,Công ty Dịch vụ Công ích Quận 4,"Tôn Thất Thuyết, P. 1, Quận 4 , Tp.HCM , Việt Nam",60 m²,,"
Đã hoàn thành
",,Gồm: 1 tầng hầm và 16 tầng nhà,"10.7548542022705,106.691947937012",p86
"
Chung cư Thế Kỷ 21
",https://batdongsan.com.vn/can-ho-chung-cu-binh-thanh/chung-cu-the-ky-21-pj1279,Công ty CP Thế kỷ 21,"326/1 Ung Văn Khiêm, phường 25, quận Bình Thạnh, Tp.HCM",,Quý III/2005,"
Đang cập nhật
",18.6 triệu/m²,"16 tầng, 294 căn hộ","10.8093004226685,106.713302612305",p87
"
Chung cư N105 Nguyễn Phong Sắc
",https://batdongsan.com.vn/can-ho-chung-cu-cau-giay/chung-cu-n105-nguyen-phong-sac-pj1281,Công ty Đầu tư phát triển công trình Du lịch - Detuorpro,"Đường Nguyễn Phong Sắc, Cầu Giấy, Hà Nội",,,"
Đã hoàn thành
",,Tòa nhà cao 18 tầng,"21.0389614105225,105.790412902832",p87
"
Chung cư Packexim
",https://batdongsan.com.vn/can-ho-chung-cu-tay-ho/chung-cu-packexim-pj1285,Công ty CP Sản xuất và Xuất nhập khẩu Bao bì,"số 49 Ngõ 15, An Dương Vương, Phú Thượng, Tây Hồ, Hà Nội",,,"
Đang cập nhật
",21 triệu/m²,"25 tầng nổi (bao gồm 01 tầng kỹ thuật) và 02 tầng hầm, được hợp khối 7 tầng đế, từ tầng 8 tách thành tháp đô","21.0856418609619,105.812889099121",p87
